Propiedad,Agente ,Venta,Forma de Pago,Mes
Santa Fe Aranjuez  42 (cesion de derechos) ,Max,740000,Notarías,Enero
Villas Santa Fe,Marcela,500000,Notarías,Enero
Versalles C8 ,Marcela,700000,Notarías,Enero
Villa Colonial 12805,Alexander,6950000,Notarías,Enero
Departamento en Murua D-401,Marcela,680000,Banco ,Febrero
Casa en El Refugio Alamos 17B,Marcela,550000,Banco ,Febrero
Departamento en Murua B-403,Marcela,680000,Banco ,Febrero
Departamento en Murua G-402,Marcela,380000,Banco ,Febrero
Departamento en Murua F-302,Marcela,680000,Banco ,Febrero
Jardin de Bugambilias Arcos 20 ,Marcela,900000,Notarías,Febrero
Terreno en Cumbres de Juarez,Marcela,5683850,Independiente,Febrero
Terreno en Malecon,Marcela,1833500,Independiente,Febrero
Terrazas de la presa calle aurora 6 a ,Marcela ,690000,Independiente,Febrero
Lago 19960,Marcela,1500000,No Mencionado,Marzo
Departamento en Murua G-304,Marcela,700000,No Mencionado,Marzo
Hacienda Casa Grande D-16,Marcela,850000,No Mencionado,Marzo
Sevilla Residencial 10359 Int. 29,Marcela,2200000,No Mencionado,Marzo
Terreno Santa Fe,Marcela,579000,No Mencionado,Marzo
Villa Fontana Privada Becker ,Luis,600000,No Mencionado,Abril
La Perla Residencial,Max,6200000,No Mencionado,Abril
La Perla B ,Alexander,4850000,No Mencionado,Abril
Costa Coronado,Alexander,7280000,No Mencionado,Abril
Departamento Murua 103 ,Marcela,700000,No Mencionado,Abril
Dario L60,Marcela,600000,No Mencionado,Abril
Paseo Costero,Marcela,4000000,No Mencionado,Abril
Terreno de Jardines de la mesa,Luis ,1800000,No Mencionado,Abril
Vallarta ,Luis,2000000,No Mencionado,Mayo
Puesta del sol ,Max,6200000,No Mencionado,Mayo
Marsella,Alexander,950000,No Mencionado,Mayo
Real de San Antonio ,Marcela ,1400000,No Mencionado,Junio
Naranjos ,Marcela ,1300000,No Mencionado,Julio
Departamento Lago,Marcela ,550000,No Mencionado,Septiembre
Campestre Murua Condominio,Marcela ,750000,No Mencionado,Octubre
Departamento Lago,Marcela,950000,No Mencionado,Octubre
Delicias ,Marcela,117000,No Mencionado,Noviembre
Virrey U 48,Marcela,600000,No Mencionado,Noviembre
Virrey U 43D,Marcela,680000,No Mencionado,Noviembre
Dromel,Marcela,950000,No Mencionado,Noviembre
Verona Priv. Gene,Marcela,2200000,No Mencionado,Noviembre
Montelinar U-17,Marcela,950000,No Mencionado,Noviembre
